seats_count,total_amount,bookings_last_1min,bookings_last_10min,same_device_flag,duplicate_route_flag,account_age_days,night_booking_flag,cancellation_history_ratio,label
10,37420,0,4,1,1,39,0,0.17,1
8,24128,3,3,1,0,63,0,0.12,1
2,7240,0,2,1,0,14,0,0.93,1
9,33156,0,5,0,1,302,0,0.21,0
9,27981,1,5,1,1,44,1,0.44,1
1,3378,2,1,1,1,299,1,0.79,1
1,3932,0,5,0,0,73,0,0.38,0
1,2476,3,5,0,1,226,0,0.1,0
3,9399,1,4,1,0,243,0,0.47,0
6,17070,2,3,1,0,289,1,0.13,0
9,25929,0,6,1,1,68,0,0.9,1
4,15804,4,1,1,0,319,0,0.73,1
8,22072,3,4,0,0,252,1,0.88,1
6,14568,2,2,1,1,318,0,0.06,0
2,6594,2,0,0,1,17,0,0.05,0
8,17624,4,4,1,0,153,0,0.37,1
7,21938,3,5,0,0,317,1,0.35,0
8,21032,3,6,1,0,306,0,0.58,1
2,7222,0,4,1,1,95,0,0.67,0
3,9306,2,0,0,0,39,1,0.78,0
7,23177,0,4,1,1,46,1,0.97,1
9,34722,3,3,0,0,346,0,0.91,1
6,17646,1,6,0,0,33,1,0.29,0
6,12324,0,5,0,1,208,1,0.68,0
8,20136,3,5,1,1,227,1,0.14,1
7,27426,4,3,1,1,310,0,0.94,1
8,30544,0,5,1,1,157,0,0.75,1
2,5324,0,1,0,0,141,0,0.58,0
9,31338,1,5,0,0,154,0,0.93,1
9,22320,3,3,1,0,58,1,0.4,1
1,2741,4,1,0,1,217,1,0.22,0
6,21774,3,3,0,1,67,0,0.11,0
4,15228,3,3,0,0,257,1,0.73,1
7,15834,4,0,1,1,56,0,0.57,1
4,9256,0,0,0,1,351,1,0.35,0
3,9537,1,6,0,1,306,0,0.79,0
7,18291,2,2,0,1,65,0,0.75,0
10,30240,0,4,0,1,218,1,0.79,1
4,11428,3,2,1,1,62,0,0.67,1
3,10299,1,3,0,1,71,0,0.11,0
7,21084,3,1,0,1,11,1,0.21,0
9,31563,1,2,1,1,281,0,0.07,1
5,10960,1,5,1,0,151,1,0.12,0
2,4728,1,6,1,0,15,0,0.14,0
7,20461,1,6,1,1,173,0,0.21,0
3,11763,4,5,1,0,100,1,0.8,1
2,5352,1,4,1,0,37,1,0.28,0
3,10506,1,4,0,0,245,0,0.74,0
4,10528,3,2,0,1,348,1,0.19,0
3,6078,1,1,1,0,193,0,0.84,1
4,10636,1,3,0,1,244,0,0.58,0
7,22988,1,3,0,1,278,1,0.36,0
7,15253,3,1,1,0,198,1,0.82,1
8,18984,0,2,0,1,24,0,0.14,0
8,27792,0,5,1,1,178,0,0.0,1
9,34101,4,1,0,1,81,0,0.45,1
2,4682,1,4,1,0,264,1,0.3,0
8,26616,3,5,1,1,3,1,0.45,1
9,24291,2,1,0,1,21,1,0.14,0
3,7668,1,3,1,0,354,1,0.63,0
4,9564,2,4,1,0,117,1,0.95,1
10,33650,4,2,1,1,275,0,0.17,1
8,28168,0,2,1,0,55,0,0.01,1
4,14804,2,3,0,0,185,1,0.87,0
6,17094,4,4,0,0,79,0,0.75,1
3,10263,4,6,1,0,249,1,0.32,1
10,30050,0,0,0,0,301,0,0.07,0
7,17969,2,6,0,0,23,1,0.89,0
8,24008,4,3,1,1,50,0,0.04,1
6,20226,1,2,1,0,91,0,0.08,0
6,16818,4,4,1,1,333,0,0.38,1
6,17562,1,4,0,0,278,0,0.31,0
3,8703,4,6,0,0,297,0,0.2,0
2,7578,2,5,0,1,67,1,0.47,0
2,6210,2,3,1,0,336,1,0.8,1
3,6594,2,1,1,0,112,1,0.27,0
6,13482,3,6,0,1,340,1,0.22,0
5,16060,4,2,0,0,251,1,0.77,1
10,29950,2,1,1,1,19,0,0.26,1
1,3424,3,2,1,1,299,0,0.81,1
8,18280,3,5,0,0,338,0,0.23,1
6,20298,0,6,0,1,287,1,0.86,0
6,18882,0,6,0,0,326,1,0.49,0
1,2324,4,4,0,1,290,1,0.73,1
4,8680,4,4,1,1,295,1,0.04,1
1,3406,0,4,1,0,299,0,0.99,1
10,23250,3,0,0,1,56,0,0.67,1
1,2996,3,3,1,1,342,1,0.01,1
10,39110,2,3,1,0,119,0,0.82,1
2,7072,0,2,0,1,307,1,0.53,0
5,11915,0,6,1,0,106,0,0.29,0
6,18066,4,4,1,1,274,1,0.09,1
2,5590,3,0,0,0,38,1,0.96,1
10,25240,1,5,0,0,266,1,0.2,0
2,6144,4,4,0,1,145,1,0.12,0
10,25690,2,3,0,1,270,0,1.0,1
8,27240,1,5,0,0,168,1,0.54,0
5,19875,2,6,0,1,158,1,0.87,0
5,19075,0,6,1,0,106,0,0.96,1
8,22096,2,2,1,1,44,1,0.45,1
6,23118,3,5,1,1,304,1,0.54,1
7,17976,3,3,0,1,36,0,0.04,0
4,13568,1,2,1,0,283,1,0.73,1
5,16865,1,5,0,0,26,0,0.15,0
6,19956,4,3,1,0,40,0,0.27,1
4,12304,2,1,0,0,289,0,0.33,0
1,2694,3,2,1,0,178,0,0.56,1
9,29637,2,0,1,1,238,1,0.2,1
4,11264,0,0,1,1,15,1,0.18,0
6,12708,4,3,0,0,80,0,0.79,1
2,6782,3,3,0,0,16,1,0.37,0
7,23352,1,1,1,0,55,0,0.1,0
10,25170,3,4,1,0,9,1,0.62,1
6,22944,4,2,1,1,272,1,0.4,1
9,34065,1,2,1,1,69,0,0.46,1
10,23890,1,6,0,0,119,1,0.05,0
1,2080,4,3,1,0,56,1,0.05,1
8,17240,4,6,1,0,324,0,0.59,1
4,10164,0,4,0,0,250,0,0.31,0
4,12852,0,5,0,1,108,0,0.52,0
6,22764,4,3,1,0,28,1,0.07,1
3,10875,2,6,1,0,203,1,0.2,0
8,23944,0,3,1,1,265,0,0.85,1
9,26433,3,2,1,1,341,1,0.17,1
8,23816,0,4,1,0,287,0,0.88,1
4,11292,0,3,0,0,308,1,0.02,0
5,19390,1,5,0,0,165,0,0.66,0
5,19190,1,4,1,0,147,0,0.77,1
6,20826,0,1,1,0,261,0,0.78,1
1,3984,1,1,0,1,343,1,0.74,0
4,8820,2,3,1,0,297,1,0.08,0
5,18090,3,0,1,1,20,0,0.51,1
2,5804,4,5,1,1,119,1,0.87,1
3,10977,3,2,0,1,308,1,0.02,0
2,5790,4,3,0,0,4,1,0.83,1
5,10380,1,2,1,1,101,1,0.05,0
7,22393,0,0,1,0,211,0,0.02,0
8,25632,3,6,1,0,85,1,0.09,1
3,6414,1,2,1,1,273,1,0.93,1
7,19628,0,5,0,1,70,1,0.79,0
1,2781,0,3,1,0,180,0,0.15,0
7,27020,2,0,1,0,204,0,0.45,0
4,10364,1,2,1,1,35,0,0.65,0
5,10100,2,1,0,1,22,1,0.9,0
5,12690,0,5,1,1,283,0,0.31,0
10,34630,1,4,0,0,311,0,0.21,0
9,26010,0,1,1,1,229,0,0.1,1
7,15085,0,1,1,1,191,1,0.97,1
7,24668,1,2,1,0,272,1,0.4,0
7,20825,1,3,1,0,163,0,0.99,1
9,27999,2,5,0,1,306,1,0.17,0
9,22743,0,1,0,1,83,1,0.36,0
2,6456,1,4,0,1,197,0,0.76,0
4,8120,4,1,0,0,91,1,0.15,0
9,26550,0,4,1,1,142,1,0.39,1
5,13150,0,4,0,1,175,1,0.33,0
6,20688,4,1,0,0,365,1,0.91,1
1,3653,4,1,0,0,268,0,0.83,1
6,23580,1,2,0,1,122,0,0.27,0
4,12424,4,6,1,1,155,1,0.84,1
2,4928,3,5,1,0,72,1,0.64,1
1,3513,1,4,1,0,98,0,0.39,0
4,8244,3,6,1,0,312,0,0.88,1
3,10155,2,4,0,0,113,0,0.21,0
4,12716,1,4,1,1,16,1,0.79,1
6,16098,0,0,0,1,80,1,0.41,0
10,36020,1,3,1,1,134,0,0.98,1
3,10359,4,0,1,1,185,0,0.2,1
5,10710,1,0,1,1,33,1,0.55,0
4,13384,4,2,1,0,343,0,0.12,1
5,13180,0,5,0,1,177,0,0.19,0
7,14224,4,5,1,0,47,1,0.81,1
5,10830,4,1,0,1,312,0,0.52,0
6,12408,4,2,1,0,24,0,0.41,1
7,17514,1,0,1,1,289,1,0.38,0
10,24700,1,0,1,0,263,0,0.8,1
1,2272,1,0,0,1,264,1,0.59,0
7,22141,0,2,0,1,75,1,0.09,0
5,18725,2,2,0,1,144,1,1.0,0
2,4248,4,2,0,1,354,0,0.2,0
8,21936,3,0,1,1,122,0,0.65,1
9,28197,4,0,1,1,151,1,0.97,1
7,16534,0,2,1,1,317,1,0.88,1
10,31580,1,5,1,0,104,1,0.43,1
7,18319,4,5,1,1,32,1,0.31,1
9,34047,4,6,0,0,211,0,0.71,1
1,3013,3,1,1,0,283,0,0.22,1
3,7368,4,2,0,0,11,0,0.61,0
10,32300,1,6,0,1,325,1,0.85,1
9,35523,1,2,0,0,10,1,0.78,1
7,21175,2,5,1,0,38,1,0.62,0
9,22194,3,5,0,1,259,0,0.18,1
7,18256,2,0,0,1,200,0,0.12,0
4,12180,0,5,0,0,292,0,0.06,0
7,23408,0,4,0,0,354,1,0.02,0
9,29853,3,6,0,0,113,1,0.53,1
10,20120,0,6,0,1,45,1,0.83,1
4,13228,4,0,0,0,45,0,0.29,0
3,10098,0,3,1,1,344,0,0.59,0
9,27450,3,2,0,0,153,1,0.7,1
8,31480,3,3,0,1,256,0,0.75,1
1,2564,3,1,1,1,129,0,0.17,1
4,8932,1,2,1,0,364,1,0.72,1
8,31672,3,5,0,1,333,1,0.4,1
10,23660,4,3,0,1,122,0,0.56,1
1,2328,3,2,0,1,46,1,0.79,1
1,3449,1,2,0,1,38,0,0.28,0
4,15224,0,1,1,0,52,0,0.92,1
10,34430,2,2,1,1,99,1,0.1,1
5,18890,4,5,1,1,142,0,0.26,1
8,22176,3,4,0,1,323,0,0.1,1
9,28575,4,3,1,0,205,1,0.47,1
3,11727,0,3,0,1,299,0,0.3,0
1,3192,2,3,0,1,164,0,0.95,0
7,17913,0,2,0,1,152,1,0.78,0
8,31352,3,0,0,0,15,1,0.13,1
8,16520,2,2,0,1,198,1,0.97,1
8,22248,2,6,0,1,348,0,0.28,0
9,21330,3,5,0,1,80,1,0.3,1
6,23526,1,4,1,1,139,0,0.8,1
8,26008,2,5,1,1,83,1,0.43,1
7,25781,4,5,0,0,296,0,0.08,0
1,2654,2,4,1,0,231,1,0.34,0
10,28210,2,0,0,0,335,0,0.42,0
5,14160,4,6,0,0,96,1,0.71,1
4,12104,4,2,1,1,315,1,0.91,1
9,26964,3,2,0,0,5,0,0.85,1
8,30536,4,0,1,1,204,1,0.26,1
2,4298,0,5,1,0,133,1,0.7,0
7,22540,3,0,1,0,18,1,0.06,1
7,24304,4,1,1,1,38,1,0.55,1
10,37990,3,6,1,1,104,1,0.4,1
6,13968,2,0,1,1,216,1,0.34,0
2,7786,1,1,0,0,87,1,0.97,0
6,15342,3,1,1,1,300,0,0.35,1
2,5870,1,4,1,0,256,1,0.07,0
10,24420,3,2,0,1,322,0,0.39,1
9,21636,4,4,1,1,236,1,0.56,1
1,3380,2,0,1,0,108,1,0.55,0
2,4110,1,0,1,1,85,1,0.76,1
8,17480,4,5,1,0,207,1,0.12,1
8,28016,2,3,1,1,285,0,0.41,1
2,4030,2,0,1,0,68,1,0.99,1
4,13044,4,1,0,0,49,0,0.48,0
8,19104,3,0,0,1,75,1,0.09,1
5,13850,3,4,0,0,118,0,0.79,1
6,13308,3,1,1,0,291,1,0.53,1
2,6358,0,4,0,0,139,1,0.14,0
3,11691,2,0,0,0,36,1,0.21,0
7,26208,4,1,0,0,8,1,0.85,1
8,25264,2,0,1,0,225,0,0.96,1
3,11190,2,5,0,1,150,0,0.19,0
9,25137,2,0,1,0,29,1,0.42,1
8,18688,4,1,0,0,49,1,0.88,1
7,22421,2,1,1,0,301,0,0.17,0
10,21750,3,5,0,1,296,0,0.14,1
5,17855,0,5,0,1,248,0,0.03,0
6,22404,1,5,1,1,254,0,0.92,1
4,15804,3,3,1,0,141,1,0.4,1
4,8744,1,4,0,1,201,0,0.68,0
10,39490,3,3,1,1,130,0,0.69,1
8,27744,2,5,1,0,214,0,0.11,1
1,2796,1,4,0,1,150,1,0.01,0
7,23779,2,3,1,1,227,0,0.52,0
6,21186,1,5,1,1,168,1,0.85,1
6,18186,1,6,1,0,218,1,0.36,0
3,8025,0,5,1,1,204,1,0.18,0
8,28128,3,2,0,1,337,0,0.66,1
6,16434,0,5,1,0,7,0,0.89,1
3,9012,2,4,1,0,186,0,0.45,0
3,8760,3,0,1,1,217,1,0.31,1
10,20180,2,3,1,0,95,1,0.8,1
5,18160,2,1,1,1,278,1,0.44,0
4,11724,2,3,1,1,74,0,0.3,0
4,12608,3,4,0,1,292,1,0.42,0
8,22632,3,6,1,0,170,0,0.12,1
1,2979,3,2,1,0,299,1,0.68,1
6,12882,3,5,0,1,29,1,0.0,0
1,2527,1,3,0,1,240,0,0.82,0
8,29792,3,4,1,1,201,0,0.7,1
9,19305,0,0,0,0,273,1,0.34,0
3,8415,4,4,1,0,63,1,0.81,1
10,28410,4,5,1,0,355,0,0.36,1
6,19578,2,4,0,1,243,1,0.15,0
10,24360,2,0,1,0,107,0,0.05,1
3,8562,2,6,0,1,2,0,0.31,0
2,4182,2,0,1,1,243,0,0.7,0
9,21762,0,1,0,1,318,0,0.72,1
7,19502,2,0,1,1,362,0,0.87,1
8,19320,4,5,1,0,122,0,0.0,1
5,11020,4,5,1,1,302,1,0.83,1
6,20100,4,1,0,0,160,1,0.32,0
4,10556,4,2,0,1,149,1,0.45,0
1,3228,3,3,1,0,321,1,0.56,1
10,31400,0,1,1,0,37,0,0.61,1
4,9052,3,4,1,0,274,1,0.19,1
4,14264,2,0,0,0,303,1,0.24,0
7,18382,1,2,1,0,218,1,0.86,1
1,3394,3,6,0,0,318,1,0.18,0
9,23706,2,3,0,1,341,0,0.47,0
5,12435,4,0,1,1,47,1,0.66,1
1,2122,1,4,1,0,147,0,0.0,0
6,17676,0,5,0,1,300,1,0.11,0
1,2684,1,1,0,1,229,1,0.13,0
7,22631,3,5,1,0,168,1,0.07,1
10,26470,2,6,0,0,201,0,0.38,0
8,23944,0,1,0,0,351,1,0.19,0
5,16210,0,6,0,1,209,0,0.18,0
1,2506,3,5,1,1,72,1,0.81,1
10,29790,2,6,1,1,267,0,0.66,1
5,11220,2,2,0,0,297,0,0.77,0
8,21128,1,1,1,0,115,1,0.91,1
6,16140,3,1,0,1,130,1,0.47,0
10,36060,4,5,0,1,209,1,0.48,1
9,26505,4,1,1,0,223,0,0.69,1
10,32570,2,5,1,0,37,1,0.91,1
2,4500,4,3,0,0,344,1,0.34,0
10,32630,3,4,1,1,172,1,0.81,1
10,28590,2,3,1,1,139,0,0.37,1
5,12450,1,0,1,1,286,1,0.72,1
9,30339,3,1,0,1,297,0,0.63,1
6,22194,4,3,0,1,297,0,0.55,0
8,26224,4,5,1,0,60,1,0.69,1
3,10131,1,3,0,1,106,0,0.9,0
10,28640,0,4,1,0,235,0,0.36,1
6,21864,4,2,1,0,109,1,0.82,1
5,12365,2,1,1,1,244,1,0.24,0
9,28413,3,2,1,1,122,1,0.06,1
4,11292,2,4,0,0,217,1,0.89,0
3,9132,2,3,0,0,326,1,0.15,0
2,7460,1,3,1,1,286,0,0.21,0
9,27450,3,0,1,0,159,0,0.12,1
2,4924,2,3,1,0,59,1,0.29,0
8,23424,2,6,1,1,274,0,0.04,1
3,7215,2,3,0,1,260,1,0.02,0
6,14178,2,2,1,0,288,1,0.54,0
8,20192,1,4,0,0,16,0,0.43,0
2,5686,0,5,0,1,308,1,0.48,0
6,17088,4,4,1,1,227,1,0.05,1
5,14555,1,2,1,1,338,0,0.87,1
4,13424,0,5,0,0,234,0,0.38,0
5,14740,0,1,1,0,233,1,0.82,1
3,7704,2,3,0,0,237,0,0.94,0
2,7740,2,0,1,1,60,0,0.77,1
7,19264,1,6,1,0,258,1,0.48,0
8,17320,1,4,1,0,300,1,0.37,1
8,21688,2,4,1,1,271,1,0.11,1
5,11045,4,0,0,0,188,0,0.95,1
1,3521,4,3,0,0,44,1,0.17,0
5,19060,0,3,0,1,30,1,0.22,0
10,22880,1,3,0,0,125,1,0.24,0
8,22056,3,5,0,1,226,1,0.7,1
6,19734,0,1,1,1,341,0,0.66,0
10,37790,4,2,1,1,204,0,0.01,1
8,23776,2,0,0,0,92,0,0.4,0
3,6492,2,4,0,1,309,1,0.59,0
5,12665,3,5,1,1,81,0,0.27,1
8,23856,0,5,0,1,91,0,0.96,1
9,24669,1,3,1,1,205,0,0.41,1
9,18405,2,2,0,0,44,1,0.83,1
4,12196,3,0,0,1,208,1,0.98,1
1,3035,3,4,0,1,217,0,0.15,0
2,5006,3,5,1,1,41,1,0.15,1
8,19664,1,3,1,0,337,0,0.63,1
6,15696,2,6,0,0,80,0,0.59,0
8,22168,2,2,1,1,200,1,0.69,1
4,14808,2,4,1,1,275,1,0.89,1
5,14870,1,1,1,1,337,0,0.18,0
1,2324,1,5,1,0,23,0,0.68,0
7,27769,0,2,1,1,117,1,0.27,0
6,17046,0,1,1,1,136,1,0.42,0
1,3039,4,3,0,0,61,1,0.99,1
3,6627,4,5,0,1,20,0,0.8,1
8,25152,3,6,0,1,310,1,0.64,1
6,22644,4,6,0,0,26,0,0.91,1
7,15393,1,6,1,0,294,1,0.81,1
10,27300,0,5,1,0,360,1,0.41,1
7,27510,2,5,1,0,175,0,0.25,0
7,14896,3,2,0,0,231,0,0.03,0
10,29510,1,0,1,1,181,0,0.79,1
3,7941,2,1,0,0,152,0,0.49,0
2,7304,1,6,1,0,247,1,0.58,0
1,2097,3,1,1,1,161,0,0.49,1
3,7461,4,3,0,0,361,1,0.19,0
4,13568,4,3,0,1,200,0,0.89,1
2,5566,1,2,0,0,124,0,0.07,0
4,11940,3,6,0,1,95,0,0.89,1
4,14620,3,3,1,1,341,1,0.9,1
4,11780,0,0,1,1,39,0,0.86,1
1,3856,1,2,1,0,258,1,0.59,0
8,17792,3,5,0,0,39,1,0.39,1
10,21450,0,5,1,0,54,0,0.43,1
9,34974,3,4,1,1,318,0,0.48,1
9,22311,0,4,0,0,228,0,0.08,0
7,25221,4,3,1,0,179,0,0.79,1
4,12280,2,5,1,0,302,1,0.25,0
8,18064,0,6,0,0,198,0,0.49,0
9,25362,2,1,1,0,231,1,0.9,1
4,9684,3,6,0,1,361,0,0.96,1
10,26460,4,4,1,0,39,1,0.39,1
4,14676,1,2,0,1,198,1,0.45,0
9,19206,1,0,0,0,329,0,0.15,0
9,26721,2,3,0,0,331,0,0.27,0
4,14740,0,6,0,1,133,0,0.0,0
6,20016,0,0,0,1,259,0,0.29,0
4,13144,2,2,0,1,360,0,0.29,0
6,18672,2,1,0,1,345,0,0.19,0
4,15696,2,5,1,0,314,0,0.13,0
10,32280,0,4,1,1,266,1,0.27,1
3,11889,3,6,1,1,71,1,0.62,1
1,2822,0,0,0,1,287,1,0.17,0
6,21774,4,3,1,1,179,1,0.05,1
1,2885,1,6,1,0,181,0,0.08,0
3,9351,1,0,1,1,42,0,0.07,0
3,9351,2,0,1,0,25,1,0.21,0
4,10832,2,1,1,1,263,1,0.77,1
4,14772,3,1,0,1,169,1,0.28,0
9,22374,3,5,1,1,245,0,0.03,1
2,4294,1,1,0,0,146,1,0.39,0
8,17704,3,0,1,0,323,0,0.1,1
10,29600,1,0,1,0,305,1,0.02,1
6,22944,0,6,0,1,133,0,0.84,0
4,11944,4,4,1,0,82,1,0.58,1
5,15245,3,4,1,0,76,0,0.83,1
