seats_count,total_amount,bookings_last_1min,bookings_last_10min,same_device_flag,duplicate_route_flag,account_age_days,night_booking_flag,cancellation_history_ratio,label
3,6816.0,0,0,1,0,178,0,0.057,0
2,6944.0,0,4,0,0,62,0,0.182,0
1,4363.0,0,1,0,0,69,0,0.185,0
1,2856.0,1,4,0,0,45,0,0.107,0
4,9225.0,1,4,0,0,32,0,0.065,0
4,13250.0,1,2,0,0,13,0,0.428,0
2,7298.0,0,5,0,0,68,0,0.192,0
5,14220.0,1,3,0,0,158,0,0.078,0
2,5101.0,2,6,0,0,49,0,0.152,0
2,6064.0,2,3,0,0,86,0,0.265,0
1,2165.0,0,2,0,1,85,0,0.379,0
4,15745.0,0,0,0,0,25,0,0.224,0
1,3744.0,0,4,0,0,32,0,0.121,0
9,25118.0,0,3,0,0,40,0,0.084,0
2,8751.0,0,5,0,0,110,0,0.095,0
3,9957.0,2,3,0,0,45,0,0.236,0
1,3172.0,0,5,0,0,195,0,0.59,0
7,17366.0,0,0,0,0,7,0,0.258,1
2,5122.0,0,3,0,0,14,0,0.434,0
1,3077.0,2,5,0,0,183,0,0.364,0
5,20857.0,2,2,0,0,53,0,0.511,0
4,10620.0,0,0,0,0,24,0,0.16,0
1,4214.0,0,2,0,0,29,0,0.04,0
4,10657.0,0,5,0,0,170,0,0.235,1
3,9815.0,1,1,0,0,23,0,0.391,0
4,16507.0,1,2,0,0,4,1,0.199,0
4,12876.0,2,4,0,0,42,0,0.334,0
3,9055.0,0,4,0,0,94,0,0.146,0
6,18503.0,1,3,0,0,56,0,0.39,0
2,4774.0,0,3,0,0,51,0,0.06,0
4,12392.0,0,1,0,0,63,0,0.278,0
2,7508.0,1,5,0,0,281,0,0.285,0
2,6431.0,0,4,0,0,20,0,0.069,0
2,5523.0,2,4,0,0,56,0,0.125,0
2,7931.0,1,4,0,0,36,0,0.182,0
1,3128.0,3,4,0,0,100,0,0.127,1
5,13358.0,0,3,1,0,39,0,0.243,0
4,9662.0,0,3,0,0,18,0,0.272,0
1,3041.0,3,6,0,0,112,0,0.172,0
3,7438.0,0,0,0,0,3,0,0.02,1
5,11798.0,0,0,0,0,39,0,0.259,0
2,8627.0,4,5,0,0,29,0,0.153,0
2,7294.0,0,1,0,0,22,0,0.31,0
3,12224.0,1,1,0,0,98,0,0.061,0
1,2665.0,1,3,0,0,124,0,0.018,0
2,6279.0,0,2,0,0,9,1,0.311,0
4,12879.0,0,1,0,0,45,0,0.285,0
3,10873.0,0,2,0,0,146,0,0.332,0
10,40422.0,0,0,0,0,112,0,0.46,0
2,7779.0,1,2,0,0,83,0,0.118,0
2,5992.0,0,2,0,0,16,0,0.218,0
2,7953.0,3,5,0,0,163,0,0.185,0
6,17280.0,0,3,0,0,43,0,0.106,0
7,18340.0,0,0,0,0,61,0,0.052,0
3,11337.0,0,0,0,0,146,0,0.232,0
3,7220.0,0,1,0,0,49,0,0.102,0
10,27584.0,3,5,1,0,42,0,0.183,1
3,11614.0,1,1,1,0,163,1,0.165,0
2,6512.0,1,2,0,0,106,0,0.109,0
9,38261.0,0,3,0,0,171,0,0.293,0
6,16744.0,0,4,0,0,124,0,0.216,0
3,11769.0,0,3,0,0,112,1,0.079,0
2,7274.0,0,1,0,0,275,0,0.426,0
6,18798.0,0,1,1,0,114,0,0.111,0
1,2395.0,0,0,0,0,54,0,0.204,0
5,16452.0,0,5,0,0,155,0,0.109,0
2,7432.0,0,2,0,0,84,1,0.232,0
2,7082.0,0,1,0,0,53,0,0.046,1
8,26975.0,1,2,0,0,210,0,0.205,0
5,15224.0,0,3,0,0,85,0,0.454,0
1,3771.0,2,3,0,1,80,0,0.22,0
7,23620.0,2,2,0,0,60,1,0.31,1
3,10738.0,0,1,0,0,107,1,0.386,0
1,3261.0,0,4,1,1,72,0,0.191,1
2,8447.0,0,3,0,0,2,1,0.044,0
3,10402.0,0,3,0,0,74,0,0.174,0
3,10104.0,1,2,0,0,163,0,0.399,0
1,2890.0,0,2,0,0,219,1,0.254,0
2,8386.0,1,2,0,0,9,1,0.146,0
2,7288.0,0,1,0,0,41,0,0.389,0
3,12902.0,2,3,0,0,16,0,0.181,0
5,19143.0,0,3,0,0,42,0,0.131,0
3,12747.0,0,1,0,0,148,0,0.152,0
4,12455.0,0,1,0,0,96,0,0.124,0
1,2318.0,0,4,0,0,20,0,0.344,0
2,4857.0,0,2,0,1,85,0,0.315,0
3,7912.0,0,0,0,0,120,0,0.252,0
4,12172.0,0,4,0,0,46,0,0.222,1
8,19281.0,0,3,0,1,41,0,0.177,0
1,3571.0,0,1,0,0,8,0,0.278,0
1,3728.0,2,3,1,0,26,0,0.231,0
2,6491.0,0,0,0,0,29,0,0.208,0
2,7710.0,0,1,0,0,77,0,0.418,0
4,9671.0,0,2,0,0,64,1,0.145,0
4,13281.0,0,1,0,0,19,1,0.2,0
1,4581.0,0,0,0,0,109,0,0.262,0
3,11708.0,0,1,0,0,102,0,0.157,0
1,3495.0,0,3,0,0,75,0,0.188,0
8,25217.0,2,2,0,0,96,0,0.091,1
2,5692.0,0,2,0,0,5,0,0.219,0
1,4194.0,0,1,0,0,52,1,0.319,0
3,7969.0,0,2,0,0,33,0,0.114,0
1,3127.0,0,0,0,0,229,0,0.314,0
2,8131.0,0,0,1,0,17,0,0.086,1
1,2515.0,1,4,0,0,0,0,0.041,0
1,3894.0,0,3,0,0,53,0,0.287,0
3,9551.0,0,2,0,0,203,0,0.33,0
3,9854.0,0,4,0,0,148,0,0.112,0
2,8658.0,0,2,0,0,42,0,0.092,0
3,9710.0,0,5,0,0,26,0,0.146,0
2,8324.0,0,1,0,0,298,0,0.186,0
3,10213.0,2,3,0,1,27,0,0.049,0
1,3407.0,0,2,0,0,2,0,0.036,0
2,8027.0,0,5,0,0,134,0,0.392,0
7,28348.0,0,4,0,0,82,0,0.372,0
7,20284.0,0,2,0,0,126,0,0.347,0
3,10854.0,1,3,0,0,174,0,0.152,0
